px,py,pz,E,mx,my,mz,K
26.6343273,-26.96981703,-429.0339624,430.7051188,-26.6343273,26.96981703,-1590.720653,1591.172195
31.86065329,-8.655707368,46.37636401,56.92793372,-31.86065329,8.655707368,307.7816192,309.5473269
1.498087299,-20.93299202,-15.28233164,25.96120338,-1.498087299,20.93299202,83.53638096,86.13223185
-31.66559497,7.167978303,652.0816289,652.8893785,31.66559497,-7.167978303,115.4435988,119.9221178
-19.10781705,0.9230604155,-814.0015549,814.226315,19.10781705,-0.9230604155,-36.87992584,41.546235
20.4588894,-29.97022172,187.2124759,190.6968575,-20.4588894,29.97022172,36.43925102,51.4256683
33.60797452,-7.915428293,44.88158211,56.62602201,-33.60797452,7.915428293,0.06115273073,34.52757877
30.734833,31.47772076,-1133.827822,1134.681015,-30.734833,-31.47772076,-599.9288153,601.5397413
11.36792155,-9.035637668,-29.70198735,33.06176705,-11.36792155,9.035637668,65.46636825,67.05757049
-0.09524599204,-21.71197906,13.07672442,25.34600221,0.09524599204,21.71197906,-94.80284772,97.25738554
27.78397628,10.00351655,-290.303377,291.8014228,-27.78397628,-10.00351655,-35.63398469,46.27959104
1.167227652,-24.72171021,-21.54369859,32.81244162,-1.167227652,24.72171021,63.82322616,68.45384995
31.81053642,-12.70015571,15.85839964,37.74510593,-31.81053642,12.70015571,136.9795581,141.197038
-18.28473405,31.2898036,119.0226791,124.4177699,18.28473405,-31.2898036,502.6046987,503.9095816
-39.69537425,8.753534657,183.6350335,188.0802293,39.69537425,-8.753534657,505.5949725,507.2264024
-24.94270508,-38.4942131,593.0864403,594.8575196,24.94270508,38.4942131,670.2914366,671.8590276
-9.725688322,-21.47721356,-3.172876631,23.78921735,9.725688322,21.47721356,134.7084282,136.7560615
3.215523431,22.82039848,-37.9132858,44.36809009,-3.215523431,-22.82039848,-546.0499451,546.5360489
-1.08508497,20.28901734,-20.54357393,28.8939451,1.08508497,-20.28901734,-391.9842644,392.5104906
42.21343131,11.10032877,171.6835871,177.1452657,-42.21343131,-11.10032877,302.7968317,305.9266454
37.33819741,-26.79531143,-129.7635145,137.6615392,-37.33819741,26.79531143,-113.6075154,122.5512026
